Year,Total_Defence,Capital,Revenue,Capital_Pct,Modernisation,Salary_Pension,DRDO
2015-16,246727,94588,152139,38.3,72400,98000,14316
2016-17,262389,97614,164775,37.2,75000,106000,15000
2017-18,279557,99563,179994,35.6,76000,116000,17143
2018-19,282733,99937,182796,35.4,74000,120000,19000
2019-20,330998,108248,222750,32.7,75000,144000,21000
2020-21,347087,113734,233353,32.8,79000,152000,22100
2021-22,478195,135060,343135,28.2,95000,220000,16578
2022-23,525166,152369,372797,29.0,107000,240000,23264
2023-24,593537,172044,421493,29.0,117000,270000,25783
2024-25,621940,179772,442168,28.9,125000,280000,27000
