Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 14 Jun 2026 7:32:12 AM

Supplier,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2000-2024,Percentage,Sum total years,Percentage of total
Russia,651,798,1671,2159,1498,689,928,1773,1326,1446,2289,2508,3916,3790,1639,1844,1764,1334,1215,1219,1165,1267,1137,498,897,39420,63%,39420,63%
France,41,20,11,11,151,101,5,8,14,19,24,27,32,52,54,119,117,406,166,775,694,1906,830,251,176,6007,9.5%,6007,9.5%
Israel,44,76,88,148,196,247,203,102,41,109,106,155,163,118,155,157,518,633,526,156,115,215,250,589,323,5432,8.6%,5432,8.6%
United States,,,,,,,80,84,,,54,214,139,983,1115,261,41,267,25,754,416,316,234,75,65,5122,8.1%,5122,8.1%
United Kingdom,,,18,,104,117,,164,224,112,120,140,160,140,150,150,130,,6,13,28,142,142,22,21,2103,3.3%,2103,3.3%
Uzbekistan,,,,252,126,,,,,209,209,209,,,,,,,,,,,,,,1005,1.6%,1005,1.6%
Germany,165,1,12,12,8,8,22,29,22,37,49,29,9,24,42,67,29,9,5,73,59,50,20,35,22,837,1.3%,837,1.3%
Ukraine,20,39,30,78,75,,,,,,,13,45,102,42,42,35,15,13,,,20,20,20,16,625,1.0%,625,1.0%
Poland,16,49,20,56,36,,218,101,,,,,,11,,,,,,,,,1,,,509,0.8%,509,0.8%
Italy,12,9,9,7,18,15,4,5,,,12,308,12,6,11,6,3,3,,,3,3,18,8,3,471,0.7%,471,0.7%
South Korea,,,,,,,,,,,,,,,,,,,26,191,191,26,,,,434,0.7%,434,0.7%
Netherlands,34,19,,,35,25,,,,10,19,,,,10,10,10,,,,,10,10,10,,198,0.3%,198,0.3%
South Africa,,10,,,,,,,,,,6,30,30,24,,,,,,,,13,7,7,128,0.2%,128,0.2%
Kyrgyzstan,,,,76,,,18,18,,,,,,,,4,5,5,,,,,,,,126,0.2%,126,0.2%
Australia,,,17,,,,8,17,17,17,17,17,,,,,,,,,,,,,,108,0.2%,108,0.2%
Switzerland,,,,,,,,,,,,,,38,31,25,,,,,,,,,,94,0.1%,94,0.1%
Canada,,,,,,,,,,,,,,11,9,49,,,,,,,,2,8,77,0.1%,77,0.1%
Spain,,,,,,,,,,,,,,,,,,,,,,,,13,63,75,0.1%,75,0.1%
Slovakia,,27,27,,,,,,,,,,,,,,,,,,,,,,,54,0.1%,54,0.1%
Denmark,,,,,,,,,,,,,,,,,,,,,,5,19,10,,33,0.1%,33,0.1%
Brazil,,,,,,,,,,,,,,,,,,10,,21,,,,,,31,0.0%,31,0.0%
unknown supplier(s),,,,,,,,,,,,,,,,,,,,,,,5,3,3,11,0.0%,11,0.0%
Kazakhstan,3,3,,,,,,,,,,,,,,,,,,,,,,,,7,0.0%,7,0.0%
Czechia,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,1,1,1,4,0.0%,4,0.0%
Total exports to India,988,1050,1902,2798,2246,1202,1487,2300,1643,1958,2897,3625,4506,5302,3282,2733,2651,2682,1982,3202,2670,3958,2701,1540,1603,62911,100%,62911,

